signature_symbol signature_score signature_direction
SULT1E1 8.33685113975628 Up
LINC00589 8.29996565056636 Up
ELOVL4 8.29207795132966 Up
RARG 8.27086176036241 Up
MXI1 8.26489171555428 Up
SPC25 8.2317729982329 Up
FAM109B 8.22874075229064 Up
ENDOD1 8.2175675196515 Up
ASAP3 8.21482305528294 Up
BCL6 8.20585314663895 Up
CASK 8.2005225331628 Up
ALDH1L2 8.1684107215121 Up
CDON 8.16052632206413 Up
PYGB 8.15489751695387 Up
RNU4ATAC12P 8.15130205489274 Up
CYBRD1 8.14872448446182 Up
NR6A1 8.12493072509002 Up
HOXC10 8.11345302924743 Up
FXN 8.09679837750876 Up
FITM2 8.0902467592504 Up
LINC01139 8.08983580823568 Up
SLC7A5 8.08874744150963 Up
UNC5B-AS1 8.07801816950841 Up
ZNF652 8.06539167292242 Up
FAM105A 8.06536983186724 Up
PPARG 8.05724002460151 Up
ID3 8.05698357514109 Up
PARP16 8.05680048049194 Up
IRX5 8.0501348754508 Up
PDE6D 8.03865078061123 Up
GREB1L 8.0329007740583 Up
PCAT7 8.02997482980416 Up
KCNAB1-AS2 8.01576369677219 Up
C1orf233 8.00688209546993 Up
DMBT1 8.00656881812267 Up
CRIPAK 8.00505241497706 Up
DDB2 7.97452791198235 Up
ERMARD 7.96392028871417 Up
POLR2M 7.95618149373556 Up
ADGRL2 7.94934110017623 Up
FDCSP 7.94567628192407 Up
DHX32 7.94455475796603 Up
KDSR 7.93950696574526 Up
DAPK1 7.92706038534373 Up
CA12 7.92410277362707 Up
GALNT12 7.89290075493039 Up
AASDH 7.87522856031961 Up
BCOR 7.84432210303991 Up
SEZ6L2 7.82894831173424 Up
RAB27B 7.81696888768876 Up
PAQR8 7.81005183925419 Up
HEY1 7.80907773244518 Up
PIK3R1 7.804942477428 Up
CCNA1 7.80128604316939 Up
THSD4 7.77650463442591 Up
ZBTB44 7.76633322542382 Up
SFRP1 7.76020658545766 Up
